"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y","cluster"
39,"management","single","tertiary","no",257,"no","no","cellular",7,"jul",58,1,-1,0,"unknown","no","1"
42,"blue-collar","married","primary","no",560,"yes","yes","cellular",18,"nov",139,2,-1,0,"unknown","no","1"
27,"admin.","married","secondary","no",249,"yes","no","cellular",13,"may",307,2,-1,0,"unknown","no","1"
47,"entrepreneur","divorced","secondary","no",186,"no","no","cellular",2,"feb",112,2,-1,0,"unknown","no","1"
68,"retired","married","tertiary","no",2820,"no","no","cellular",5,"mar",158,1,92,3,"success","no","2"
32,"technician","single","secondary","no",224,"no","no","cellular",29,"aug",451,4,-1,0,"unknown","no","1"
33,"technician","married","unknown","no",1450,"no","no","cellular",27,"apr",81,1,-1,0,"unknown","no","1"
34,"blue-collar","married","primary","no",2720,"yes","no","cellular",21,"nov",147,2,179,3,"failure","no","1"
29,"blue-collar","single","secondary","no",244,"yes","no","cellular",15,"may",19,2,-1,0,"unknown","no","1"
55,"management","married","tertiary","no",0,"no","no","unknown",16,"jun",607,2,-1,0,"unknown","no","1"
56,"blue-collar","married","primary","no",309,"yes","no","cellular",14,"may",198,2,367,4,"failure","no","1"
52,"technician","married","tertiary","no",0,"no","no","cellular",9,"aug",145,3,94,4,"success","no","1"
34,"blue-collar","married","tertiary","no",20,"no","no","unknown",4,"oct",10,1,-1,0,"unknown","no","1"
47,"blue-collar","married","secondary","yes",-5,"yes","no","unknown",7,"may",444,1,-1,0,"unknown","no","1"
60,"retired","married","secondary","no",4,"no","no","cellular",28,"aug",602,3,-1,0,"unknown","no","3"
43,"management","married","tertiary","no",-526,"no","no","cellular",12,"aug",603,2,-1,0,"unknown","no","1"
37,"blue-collar","married","primary","no",689,"yes","no","cellular",14,"jul",367,2,-1,0,"unknown","no","1"
38,"technician","married","tertiary","no",3234,"no","no","cellular",8,"apr",281,1,141,2,"success","no","1"
37,"student","married","unknown","no",0,"no","no","unknown",18,"jun",115,1,-1,0,"unknown","no","1"
31,"admin.","single","secondary","no",130,"yes","yes","unknown",12,"may",132,1,-1,0,"unknown","no","1"
37,"blue-collar","married","primary","no",95,"yes","no","cellular",5,"feb",415,2,272,2,"failure","no","1"
45,"services","married","secondary","no",0,"no","no","cellular",11,"jul",106,2,-1,0,"unknown","no","1"
56,"services","divorced","secondary","no",72,"yes","yes","cellular",7,"may",263,1,357,4,"failure","no","1"
41,"management","single","tertiary","no",236,"no","no","cellular",26,"aug",72,4,-1,0,"unknown","no","1"
27,"admin.","single","secondary","no",1,"yes","no","unknown",12,"may",86,1,-1,0,"unknown","no","1"
37,"technician","married","secondary","no",318,"no","no","cellular",7,"aug",83,1,95,4,"other","no","1"
40,"management","divorced","tertiary","no",290,"yes","no","unknown",27,"may",184,1,-1,0,"unknown","no","1"
37,"management","single","tertiary","no",400,"yes","no","unknown",16,"jun",244,1,-1,0,"unknown","no","1"
38,"admin.","divorced","secondary","no",74,"yes","no","cellular",23,"jul",279,3,-1,0,"unknown","no","1"
53,"retired","married","secondary","no",352,"yes","no","telephone",20,"apr",58,5,-1,0,"unknown","no","1"
47,"management","married","tertiary","no",434,"no","no","cellular",12,"aug",111,4,-1,0,"unknown","no","1"
37,"retired","married","secondary","no",-252,"no","no","cellular",22,"jul",438,3,-1,0,"unknown","no","1"
45,"management","married","tertiary","no",2220,"yes","no","cellular",21,"nov",89,1,133,2,"failure","no","1"
35,"self-employed","single","secondary","no",271,"yes","no","unknown",20,"may",68,1,-1,0,"unknown","no","1"
42,"management","married","tertiary","no",981,"yes","no","cellular",17,"nov",276,1,-1,0,"unknown","no","1"
50,"admin.","married","secondary","no",242,"yes","no","cellular",20,"aug",69,4,-1,0,"unknown","no","1"
30,"blue-collar","married","primary","no",-327,"yes","yes","cellular",5,"may",305,1,294,7,"other","no","1"
34,"blue-collar","married","secondary","no",649,"yes","no","cellular",6,"may",224,1,363,1,"other","no","1"
48,"blue-collar","single","unknown","no",2961,"no","no","unknown",19,"jun",361,1,-1,0,"unknown","no","2"
35,"technician","married","secondary","no",327,"yes","no","cellular",13,"apr",537,3,-1,0,"unknown","no","1"
39,"admin.","married","secondary","yes",-104,"yes","no","cellular",28,"jul",290,2,-1,0,"unknown","no","1"
47,"blue-collar","divorced","primary","yes",0,"yes","no","cellular",28,"jul",327,3,-1,0,"unknown","no","1"
47,"services","married","secondary","no",24,"no","no","cellular",11,"aug",271,3,-1,0,"unknown","no","1"
32,"blue-collar","single","primary","no",405,"yes","no","unknown",26,"may",200,1,-1,0,"unknown","no","1"
36,"management","married","tertiary","no",7,"yes","no","cellular",17,"nov",501,2,-1,0,"unknown","no","1"
31,"management","single","tertiary","no",170,"yes","yes","cellular",5,"may",168,1,265,2,"failure","no","1"
29,"technician","married","secondary","no",132,"yes","yes","cellular",30,"apr",88,1,-1,0,"unknown","no","1"
60,"self-employed","married","secondary","no",3105,"no","no","telephone",28,"jul",178,4,-1,0,"unknown","no","2"
37,"blue-collar","married","secondary","no",1736,"no","yes","unknown",18,"jun",66,1,-1,0,"unknown","no","1"
34,"technician","single","tertiary","no",228,"yes","no","cellular",22,"jul",387,4,-1,0,"unknown","no","1"
28,"unemployed","married","secondary","no",655,"yes","no","unknown",4,"jun",606,2,-1,0,"unknown","no","1"
40,"blue-collar","married","primary","no",106,"yes","no","cellular",17,"apr",200,2,-1,0,"unknown","no","1"
29,"housemaid","married","primary","no",7,"no","yes","cellular",8,"jul",240,1,-1,0,"unknown","no","1"
33,"admin.","single","secondary","no",206,"yes","no","cellular",15,"mar",287,2,-1,0,"unknown","no","1"
44,"management","married","tertiary","no",1791,"no","no","telephone",12,"aug",201,1,182,2,"success","yes","1"
32,"admin.","single","secondary","no",91,"yes","no","unknown",14,"may",302,2,-1,0,"unknown","no","1"
51,"management","married","tertiary","no",1394,"yes","no","cellular",5,"aug",115,1,-1,0,"unknown","no","2"
46,"blue-collar","married","secondary","no",877,"no","no","cellular",29,"aug",339,2,-1,0,"unknown","no","1"
49,"admin.","married","secondary","no",1530,"yes","no","unknown",15,"may",173,1,-1,0,"unknown","no","2"
49,"management","married","tertiary","no",436,"no","no","cellular",21,"nov",215,1,-1,0,"unknown","no","1"
50,"management","divorced","tertiary","no",1349,"yes","yes","cellular",28,"jan",326,1,-1,0,"unknown","no","2"
33,"blue-collar","married","secondary","no",540,"no","yes","cellular",13,"may",88,2,-1,0,"unknown","no","1"
36,"management","single","tertiary","no",26,"no","no","cellular",29,"aug",370,4,-1,0,"unknown","no","1"
43,"technician","divorced","tertiary","no",123,"no","no","unknown",14,"may",279,2,-1,0,"unknown","no","1"
61,"retired","married","secondary","no",1058,"no","no","cellular",27,"apr",159,3,-1,0,"unknown","yes","2"
51,"blue-collar","married","primary","no",173,"yes","no","unknown",5,"may",529,2,-1,0,"unknown","no","1"
55,"blue-collar","married","secondary","no",388,"no","no","cellular",12,"aug",187,2,-1,0,"unknown","no","1"
47,"services","married","secondary","no",0,"no","yes","unknown",20,"jun",51,2,-1,0,"unknown","no","1"
32,"blue-collar","married","secondary","yes",98,"no","yes","unknown",23,"may",174,1,-1,0,"unknown","no","1"
50,"services","married","secondary","no",2420,"yes","no","cellular",20,"apr",102,6,235,13,"failure","no","4"
37,"technician","married","tertiary","no",0,"no","no","cellular",28,"aug",76,1,-1,0,"unknown","no","1"
38,"blue-collar","married","primary","no",1630,"yes","no","cellular",17,"jun",101,3,94,19,"other","no","1"
54,"management","married","tertiary","no",0,"no","no","cellular",19,"nov",214,3,-1,0,"unknown","no","1"
66,"retired","married","primary","no",1943,"no","no","cellular",24,"aug",401,1,-1,0,"unknown","no","2"
39,"blue-collar","married","primary","no",-186,"no","yes","unknown",18,"jun",320,3,-1,0,"unknown","no","1"
49,"technician","divorced","secondary","yes",-757,"yes","yes","unknown",2,"jun",68,1,-1,0,"unknown","no","1"
23,"management","single","tertiary","no",2143,"no","no","cellular",30,"mar",180,2,-1,0,"unknown","yes","1"
59,"housemaid","married","primary","no",116,"no","no","cellular",8,"aug",129,4,-1,0,"unknown","no","1"
27,"blue-collar","married","primary","no",60,"yes","no","unknown",3,"jun",550,1,-1,0,"unknown","no","1"
36,"technician","single","secondary","no",818,"yes","yes","cellular",19,"aug",96,4,-1,0,"unknown","no","1"
23,"entrepreneur","single","primary","no",4,"yes","no","unknown",13,"may",395,2,-1,0,"unknown","yes","1"
54,"self-employed","married","secondary","no",534,"yes","no","cellular",2,"feb",165,1,188,4,"failure","no","1"
33,"management","single","tertiary","no",417,"yes","no","cellular",6,"feb",83,1,-1,0,"unknown","no","1"
38,"admin.","married","secondary","no",326,"yes","no","cellular",17,"apr",69,2,-1,0,"unknown","no","1"
37,"technician","married","unknown","no",189,"no","no","cellular",1,"oct",238,1,107,2,"success","yes","1"
55,"services","divorced","secondary","no",322,"yes","no","cellular",28,"jan",342,1,-1,0,"unknown","no","1"
51,"technician","married","secondary","no",58,"yes","no","cellular",11,"jul",128,2,-1,0,"unknown","no","1"
22,"services","single","secondary","no",250,"yes","no","cellular",18,"may",117,3,-1,0,"unknown","no","1"
44,"entrepreneur","married","tertiary","no",624,"no","no","telephone",14,"aug",552,2,-1,0,"unknown","yes","1"
46,"management","single","tertiary","no",187,"yes","no","unknown",5,"may",113,2,-1,0,"unknown","no","1"
33,"blue-collar","married","primary","no",134,"yes","no","unknown",9,"may",91,2,-1,0,"unknown","no","1"
28,"admin.","single","secondary","no",2,"no","no","cellular",15,"jun",60,1,-1,0,"unknown","no","1"
34,"management","married","tertiary","no",1022,"yes","no","cellular",8,"sep",219,1,-1,0,"unknown","no","1"
59,"blue-collar","divorced","primary","no",1,"no","yes","cellular",8,"jul",214,1,-1,0,"unknown","no","1"
42,"unemployed","married","secondary","no",0,"yes","no","cellular",13,"may",74,3,-1,0,"unknown","no","1"
56,"retired","single","tertiary","no",352,"no","no","cellular",19,"nov",198,1,-1,0,"unknown","no","1"
37,"management","single","tertiary","no",2265,"yes","no","cellular",16,"jul",64,1,-1,0,"unknown","no","1"
54,"technician","married","primary","no",-1818,"yes","no","cellular",17,"jul",271,2,-1,0,"unknown","no","1"
55,"blue-collar","married","secondary","no",1765,"yes","no","cellular",5,"feb",445,1,267,1,"failure","no","2"
32,"blue-collar","single","secondary","no",70,"yes","no","unknown",26,"may",118,6,-1,0,"unknown","no","1"
40,"entrepreneur","married","secondary","no",1238,"yes","no","telephone",21,"jul",50,2,-1,0,"unknown","no","1"
51,"blue-collar","married","primary","no",872,"no","no","cellular",8,"aug",82,2,-1,0,"unknown","no","1"
36,"blue-collar","married","secondary","no",866,"yes","no","cellular",16,"apr",344,1,-1,0,"unknown","no","1"
31,"technician","single","secondary","no",863,"yes","no","cellular",25,"may",166,3,111,6,"failure","no","1"
51,"services","married","primary","no",0,"no","no","cellular",8,"aug",121,2,-1,0,"unknown","no","1"
52,"technician","married","secondary","no",1815,"no","no","cellular",6,"aug",131,3,-1,0,"unknown","no","2"
64,"retired","married","unknown","no",679,"no","no","telephone",16,"nov",167,1,-1,0,"unknown","yes","1"
32,"services","married","secondary","no",61,"yes","no","cellular",8,"jul",529,5,-1,0,"unknown","no","3"
50,"entrepreneur","married","tertiary","no",2410,"no","no","cellular",21,"nov",65,1,-1,0,"unknown","no","1"
40,"services","married","secondary","no",0,"yes","yes","cellular",2,"feb",226,2,-1,0,"unknown","no","1"
43,"entrepreneur","married","secondary","no",641,"yes","yes","unknown",2,"jun",251,4,-1,0,"unknown","no","1"
56,"management","divorced","tertiary","no",1263,"yes","no","cellular",13,"may",155,1,-1,0,"unknown","no","2"
36,"management","single","secondary","no",0,"no","no","cellular",19,"nov",537,3,-1,0,"unknown","no","1"
49,"blue-collar","married","primary","no",816,"yes","no","cellular",17,"apr",76,1,260,7,"failure","no","1"
29,"services","single","secondary","no",0,"no","no","unknown",1,"jul",12,1,514,3,"failure","no","1"
29,"management","single","tertiary","no",1445,"no","no","cellular",4,"dec",271,2,-1,0,"unknown","yes","1"
37,"technician","single","secondary","no",2139,"yes","no","cellular",14,"may",146,3,-1,0,"unknown","no","2"
53,"blue-collar","married","secondary","no",392,"no","no","cellular",26,"aug",95,6,-1,0,"unknown","no","1"
27,"management","single","unknown","no",1029,"yes","no","unknown",6,"jun",71,2,-1,0,"unknown","no","1"
36,"blue-collar","married","primary","no",0,"yes","no","unknown",6,"jun",246,4,-1,0,"unknown","no","1"
49,"technician","married","secondary","no",0,"yes","yes","cellular",21,"jul",95,1,-1,0,"unknown","no","1"
47,"services","married","primary","no",504,"no","yes","unknown",18,"jun",156,3,-1,0,"unknown","no","1"
31,"management","single","secondary","no",1310,"yes","no","cellular",18,"may",12,2,-1,0,"unknown","no","1"
54,"blue-collar","divorced","secondary","no",462,"yes","no","unknown",23,"may",260,3,-1,0,"unknown","no","1"
44,"self-employed","divorced","tertiary","no",1070,"yes","no","cellular",30,"apr",381,1,160,2,"other","yes","1"
37,"blue-collar","single","primary","no",0,"no","no","unknown",5,"jun",39,1,-1,0,"unknown","no","1"
53,"unemployed","married","secondary","no",76,"yes","yes","unknown",16,"may",283,1,-1,0,"unknown","no","1"
37,"blue-collar","married","primary","no",403,"yes","no","cellular",8,"may",318,2,338,1,"success","no","1"
37,"services","single","secondary","no",259,"yes","no","unknown",7,"may",130,1,-1,0,"unknown","no","1"
42,"entrepreneur","married","tertiary","no",-14,"yes","no","cellular",24,"jul",58,2,-1,0,"unknown","no","1"
29,"blue-collar","single","primary","no",215,"yes","no","cellular",13,"may",137,3,-1,0,"unknown","no","1"
41,"technician","married","secondary","no",-832,"no","no","cellular",6,"aug",226,5,-1,0,"unknown","no","1"
49,"services","married","secondary","no",-301,"yes","no","cellular",12,"may",187,4,-1,0,"unknown","no","1"
35,"unemployed","single","secondary","no",0,"no","no","cellular",31,"jul",299,3,-1,0,"unknown","no","1"
46,"entrepreneur","married","secondary","no",245,"yes","no","cellular",8,"may",78,1,359,3,"failure","no","1"
40,"technician","divorced","secondary","no",300,"yes","yes","cellular",17,"apr",386,2,-1,0,"unknown","no","1"
28,"admin.","single","secondary","no",579,"yes","no","cellular",21,"jul",60,2,-1,0,"unknown","no","1"
41,"management","divorced","secondary","no",276,"yes","no","unknown",7,"may",60,1,-1,0,"unknown","no","1"
56,"management","married","primary","no",31,"yes","no","cellular",12,"may",215,2,-1,0,"unknown","no","1"
33,"technician","single","secondary","no",56,"no","no","unknown",7,"may",236,2,-1,0,"unknown","no","1"
46,"retired","married","secondary","no",2396,"no","no","cellular",8,"may",307,1,-1,0,"unknown","no","2"
37,"technician","single","secondary","no",884,"yes","yes","cellular",31,"jul",128,2,-1,0,"unknown","no","1"
32,"management","married","tertiary","no",1544,"yes","no","cellular",7,"may",265,1,-1,0,"unknown","no","1"
35,"technician","single","secondary","no",663,"no","yes","cellular",14,"aug",215,2,-1,0,"unknown","no","1"
36,"admin.","married","secondary","no",540,"no","yes","cellular",7,"aug",95,2,-1,0,"unknown","no","1"
27,"self-employed","single","tertiary","no",147,"no","no","cellular",22,"jun",111,5,-1,0,"unknown","no","1"
35,"management","single","tertiary","no",0,"no","no","cellular",29,"aug",131,2,-1,0,"unknown","no","1"
53,"blue-collar","married","secondary","no",-102,"yes","no","cellular",11,"may",52,2,-1,0,"unknown","no","1"
25,"blue-collar","single","secondary","no",579,"yes","no","unknown",28,"may",225,4,-1,0,"unknown","no","1"
47,"blue-collar","married","secondary","no",1730,"yes","no","cellular",30,"apr",231,1,-1,0,"unknown","yes","1"
32,"management","single","tertiary","no",0,"no","no","cellular",21,"nov",9,6,-1,0,"unknown","no","1"
32,"blue-collar","single","primary","no",1918,"yes","no","cellular",17,"nov",321,1,-1,0,"unknown","no","1"
34,"management","single","tertiary","no",966,"yes","no","cellular",21,"nov",393,1,101,3,"failure","no","1"
48,"management","single","tertiary","no",648,"yes","no","cellular",31,"jul",462,2,-1,0,"unknown","no","1"
45,"admin.","single","secondary","no",205,"no","yes","cellular",10,"jul",329,1,-1,0,"unknown","no","1"
50,"blue-collar","divorced","primary","no",31,"yes","no","unknown",9,"may",237,3,-1,0,"unknown","no","1"
33,"technician","single","secondary","no",10,"yes","no","cellular",6,"feb",71,2,274,1,"failure","no","1"
38,"blue-collar","single","primary","no",947,"yes","no","cellular",12,"may",361,2,-1,0,"unknown","no","1"
63,"unemployed","married","primary","no",0,"no","no","telephone",30,"nov",337,3,-1,0,"unknown","no","1"
31,"admin.","single","secondary","no",162,"yes","no","unknown",28,"may",247,1,-1,0,"unknown","no","1"
29,"blue-collar","married","secondary","no",-475,"yes","no","unknown",3,"jun",538,2,-1,0,"unknown","no","1"
34,"technician","single","secondary","no",1477,"yes","no","cellular",20,"apr",233,3,-1,0,"unknown","no","1"
24,"admin.","single","secondary","no",99,"no","no","cellular",4,"feb",56,3,-1,0,"unknown","no","1"
40,"technician","married","secondary","no",96,"yes","yes","unknown",26,"may",29,2,-1,0,"unknown","no","1"
39,"admin.","married","secondary","no",1388,"yes","no","cellular",15,"jul",150,5,-1,0,"unknown","no","4"
35,"management","married","tertiary","no",646,"yes","no","cellular",18,"nov",84,2,-1,0,"unknown","no","1"
32,"management","single","tertiary","no",1160,"yes","yes","unknown",11,"jun",450,2,-1,0,"unknown","no","1"
39,"admin.","married","secondary","no",598,"yes","no","unknown",15,"may",444,1,-1,0,"unknown","no","1"
41,"management","divorced","tertiary","no",1401,"no","no","unknown",16,"jun",110,4,-1,0,"unknown","no","1"
52,"entrepreneur","married","primary","no",1998,"no","no","telephone",1,"jun",153,1,-1,0,"unknown","no","2"
32,"blue-collar","married","secondary","no",419,"yes","no","cellular",20,"apr",122,3,325,2,"failure","no","1"
33,"blue-collar","married","secondary","no",640,"yes","no","cellular",3,"feb",439,3,-1,0,"unknown","no","1"
48,"technician","divorced","tertiary","no",855,"no","no","cellular",6,"aug",68,4,-1,0,"unknown","no","1"
36,"services","married","secondary","no",211,"yes","no","unknown",9,"may",93,2,-1,0,"unknown","no","1"
31,"management","married","tertiary","no",1720,"yes","yes","cellular",18,"jul",104,1,-1,0,"unknown","no","1"
56,"admin.","married","unknown","no",2038,"no","no","cellular",8,"feb",405,1,305,1,"success","no","2"
48,"services","married","secondary","yes",-20,"no","no","cellular",20,"aug",142,2,-1,0,"unknown","no","1"
44,"entrepreneur","married","tertiary","no",307,"yes","no","unknown",2,"jun",338,2,-1,0,"unknown","no","1"
37,"blue-collar","married","secondary","no",982,"yes","no","cellular",17,"apr",127,1,282,2,"failure","no","1"
33,"management","married","tertiary","no",1514,"no","no","cellular",10,"aug",447,1,728,2,"failure","yes","1"
48,"entrepreneur","married","unknown","no",2550,"yes","no","unknown",14,"may",175,3,-1,0,"unknown","no","2"
33,"admin.","divorced","secondary","no",661,"yes","no","cellular",4,"may",90,4,167,3,"failure","no","1"
39,"management","married","secondary","no",1035,"yes","no","cellular",20,"apr",436,1,-1,0,"unknown","no","1"
38,"technician","married","secondary","no",821,"yes","yes","cellular",17,"nov",224,2,180,1,"failure","no","1"
57,"management","married","tertiary","yes",-24,"yes","no","telephone",17,"nov",14,1,-1,0,"unknown","no","1"
46,"blue-collar","married","secondary","no",-3,"yes","no","cellular",29,"jan",79,2,265,2,"failure","no","1"
41,"blue-collar","married","secondary","no",641,"yes","no","unknown",13,"may",161,1,-1,0,"unknown","no","1"
38,"services","divorced","secondary","no",-345,"yes","no","unknown",28,"may",177,2,-1,0,"unknown","no","1"
33,"blue-collar","married","secondary","no",0,"no","yes","cellular",18,"jul",453,3,-1,0,"unknown","no","1"
29,"services","married","tertiary","no",6,"yes","no","unknown",28,"may",143,2,-1,0,"unknown","no","1"
34,"management","single","tertiary","no",1717,"yes","no","unknown",21,"may",269,2,-1,0,"unknown","no","1"
29,"admin.","single","secondary","no",1070,"yes","no","unknown",19,"may",30,1,357,1,"other","yes","1"
35,"blue-collar","married","secondary","no",262,"no","no","cellular",15,"sep",331,1,75,6,"failure","yes","1"
41,"admin.","single","secondary","no",431,"yes","no","cellular",16,"apr",258,1,-1,0,"unknown","no","1"
31,"management","married","tertiary","no",432,"yes","no","cellular",21,"nov",197,1,-1,0,"unknown","no","1"
35,"management","divorced","tertiary","no",505,"no","no","cellular",23,"jul",142,1,-1,0,"unknown","no","1"
52,"technician","married","tertiary","no",136,"yes","no","telephone",14,"may",46,2,287,10,"other","no","1"
32,"unemployed","married","secondary","no",10,"yes","no","unknown",6,"may",501,4,-1,0,"unknown","no","1"
38,"technician","single","tertiary","no",9,"yes","no","unknown",6,"may",185,3,-1,0,"unknown","no","1"
31,"blue-collar","single","secondary","no",823,"yes","yes","cellular",7,"apr",208,1,-1,0,"unknown","no","1"
39,"technician","single","tertiary","no",25,"yes","no","cellular",28,"dec",315,1,210,2,"success","yes","1"
34,"blue-collar","married","primary","no",698,"yes","no","cellular",4,"may",83,5,-1,0,"unknown","no","1"
32,"management","single","tertiary","no",751,"yes","no","unknown",8,"may",64,1,-1,0,"unknown","no","1"
33,"student","married","secondary","no",1536,"no","no","cellular",9,"nov",262,1,94,2,"success","yes","1"
59,"retired","married","tertiary","no",941,"no","yes","cellular",4,"feb",231,1,210,1,"failure","no","2"
33,"services","married","secondary","no",-52,"yes","no","cellular",18,"may",278,1,-1,0,"unknown","no","1"
52,"technician","married","secondary","no",2095,"yes","yes","cellular",19,"aug",419,4,-1,0,"unknown","no","2"
32,"management","married","tertiary","no",3154,"no","no","cellular",3,"jun",126,1,44,4,"failure","no","1"
31,"management","single","tertiary","no",0,"no","no","cellular",26,"aug",120,6,-1,0,"unknown","no","1"
39,"self-employed","married","secondary","no",31,"yes","no","unknown",23,"may",146,4,-1,0,"unknown","no","1"
39,"management","single","tertiary","no",2651,"no","no","cellular",6,"apr",139,2,136,5,"other","no","1"
36,"blue-collar","married","secondary","no",373,"yes","no","unknown",13,"may",94,1,-1,0,"unknown","no","1"
46,"unemployed","single","secondary","no",2052,"no","no","cellular",30,"jan",428,1,-1,0,"unknown","no","2"
62,"management","married","tertiary","no",997,"no","no","cellular",22,"apr",554,1,304,2,"success","yes","2"
52,"technician","single","secondary","no",36,"yes","no","unknown",16,"may",335,1,-1,0,"unknown","no","1"
47,"self-employed","married","secondary","no",523,"no","no","unknown",20,"jul",7,1,-1,0,"unknown","no","1"
33,"management","married","secondary","no",369,"no","no","cellular",25,"may",115,2,103,1,"success","no","1"
32,"services","married","secondary","no",-538,"no","yes","cellular",15,"may",233,1,353,1,"failure","no","1"
58,"management","single","tertiary","no",1387,"yes","no","unknown",5,"may",174,5,-1,0,"unknown","no","1"
24,"blue-collar","single","secondary","no",27,"yes","no","cellular",6,"may",404,1,338,2,"failure","no","1"
64,"retired","married","tertiary","no",2139,"no","no","cellular",13,"jan",230,1,91,2,"failure","no","2"
57,"retired","married","primary","no",592,"no","yes","cellular",28,"jul",87,5,-1,0,"unknown","no","1"
32,"admin.","married","tertiary","no",118,"no","no","cellular",21,"nov",383,4,176,10,"failure","no","1"
46,"management","single","tertiary","no",653,"no","yes","cellular",21,"nov",104,1,-1,0,"unknown","no","1"
60,"blue-collar","married","primary","no",631,"no","no","cellular",12,"aug",429,2,-1,0,"unknown","yes","1"
59,"housemaid","divorced","unknown","no",873,"yes","no","unknown",7,"may",152,3,-1,0,"unknown","no","2"
57,"services","married","primary","no",2893,"no","no","cellular",8,"aug",207,2,-1,0,"unknown","no","2"
37,"admin.","married","secondary","no",960,"no","no","telephone",18,"nov",50,3,-1,0,"unknown","no","1"
48,"admin.","divorced","secondary","no",238,"yes","no","unknown",26,"may",76,2,-1,0,"unknown","no","1"
48,"admin.","single","secondary","no",2091,"no","no","cellular",2,"feb",94,1,-1,0,"unknown","no","1"
47,"management","married","tertiary","no",0,"no","no","cellular",4,"aug",491,1,-1,0,"unknown","no","1"
37,"technician","married","secondary","no",720,"yes","no","cellular",8,"apr",58,3,-1,0,"unknown","no","1"
44,"blue-collar","single","tertiary","no",827,"yes","no","unknown",18,"jun",65,4,-1,0,"unknown","no","1"
29,"technician","divorced","secondary","no",328,"yes","yes","cellular",4,"feb",25,1,-1,0,"unknown","no","1"
57,"retired","married","primary","no",1466,"no","no","unknown",20,"jun",326,1,-1,0,"unknown","no","2"
52,"blue-collar","married","primary","no",2488,"no","no","cellular",13,"aug",176,2,-1,0,"unknown","no","2"
37,"blue-collar","married","secondary","no",56,"yes","no","cellular",20,"apr",46,2,285,1,"failure","no","1"
48,"technician","married","secondary","no",164,"no","no","cellular",27,"aug",76,4,-1,0,"unknown","no","1"
27,"admin.","single","secondary","no",349,"yes","no","unknown",27,"may",165,3,-1,0,"unknown","no","1"
47,"technician","married","tertiary","no",2155,"no","no","unknown",20,"jun",178,3,-1,0,"unknown","no","2"
43,"services","married","secondary","no",2145,"no","no","cellular",25,"aug",291,2,95,4,"success","yes","2"
19,"student","single","secondary","no",526,"no","no","cellular",14,"dec",122,3,-1,0,"unknown","no","1"
29,"blue-collar","married","secondary","no",933,"yes","no","cellular",17,"apr",180,2,-1,0,"unknown","no","1"
42,"blue-collar","married","unknown","no",0,"no","no","unknown",26,"may",270,2,-1,0,"unknown","no","1"
39,"blue-collar","married","primary","no",3419,"yes","no","cellular",13,"may",155,1,327,5,"failure","no","1"
43,"technician","divorced","secondary","no",0,"no","no","unknown",14,"may",333,1,-1,0,"unknown","no","1"
59,"admin.","married","secondary","no",302,"no","yes","cellular",8,"jul",250,2,-1,0,"unknown","no","1"
40,"admin.","single","secondary","no",0,"yes","no","cellular",18,"nov",341,1,-1,0,"unknown","no","1"
46,"management","divorced","tertiary","no",0,"no","no","cellular",20,"aug",50,2,-1,0,"unknown","no","1"
37,"management","married","tertiary","no",566,"no","no","cellular",25,"aug",463,4,-1,0,"unknown","no","1"
34,"technician","married","secondary","no",657,"no","no","cellular",5,"jun",263,2,-1,0,"unknown","no","1"
42,"admin.","married","secondary","no",1133,"yes","no","cellular",7,"jul",375,3,-1,0,"unknown","no","1"
31,"management","married","tertiary","no",596,"no","no","cellular",12,"aug",192,4,-1,0,"unknown","no","1"
51,"management","married","tertiary","yes",0,"no","yes","cellular",29,"jul",204,6,-1,0,"unknown","no","1"
31,"management","married","tertiary","no",395,"yes","no","cellular",9,"feb",155,3,-1,0,"unknown","no","1"
57,"retired","married","secondary","no",703,"yes","no","unknown",15,"may",405,2,-1,0,"unknown","no","1"
55,"admin.","married","unknown","no",98,"no","yes","cellular",28,"jan",214,1,-1,0,"unknown","no","1"
43,"management","married","tertiary","yes",0,"no","no","cellular",21,"jul",455,2,-1,0,"unknown","no","1"
33,"blue-collar","married","primary","no",827,"yes","no","cellular",18,"may",18,4,-1,0,"unknown","no","1"
32,"blue-collar","divorced","primary","no",380,"no","no","cellular",25,"jul",48,2,-1,0,"unknown","no","1"
59,"retired","married","secondary","no",1723,"no","no","unknown",19,"jun",70,1,-1,0,"unknown","no","2"
28,"management","single","secondary","no",703,"yes","no","cellular",15,"may",485,1,88,1,"other","yes","1"
35,"management","single","tertiary","no",51,"no","no","cellular",18,"aug",90,5,-1,0,"unknown","no","1"
56,"management","married","secondary","no",1560,"yes","no","cellular",9,"jul",89,1,-1,0,"unknown","no","2"
44,"blue-collar","single","primary","no",-24,"no","no","telephone",7,"jul",564,1,-1,0,"unknown","no","1"
33,"technician","single","secondary","no",1074,"yes","yes","cellular",14,"may",308,2,-1,0,"unknown","no","1"
31,"admin.","single","secondary","no",1016,"yes","no","unknown",20,"jun",9,5,-1,0,"unknown","no","1"
34,"management","married","tertiary","no",158,"no","no","cellular",9,"jun",190,1,92,9,"success","yes","1"
49,"management","single","tertiary","no",580,"no","no","unknown",19,"may",310,2,-1,0,"unknown","no","1"
49,"management","married","tertiary","no",413,"no","yes","cellular",31,"jul",196,4,-1,0,"unknown","no","1"
